issue_number,issue_title,status
108,"DOC-001: Fix Critical README.md Issues - Broken Links, Outdated Structure, GitHub Pages",Closed
40,ADR Required: Eliminate Direct Environment Access in FileRepository,Closed
94,PM-033a: MCP Consumer Foundation - GitHub Integration,Closed
89,PM-090: Authentication Foundation - JWT-Based Security System,Closed
90,CRITICAL: Workflow Factory Bug - 100% Failure Rate,Closed
27,PM-056: Create domain/database schema validator,Closed
88,PM-089: Error Message Enhancement - User Experience Transformation,Closed
11,PM-005: User Feedback Tracking,Closed
59,PM-030: Advanced Knowledge Graph Implementation,Closed
54,PM-072: README Modernization,Closed
84,Environment Regression: FastAPI Middleware Import Blocking All Tests,Closed
79,PM-040: Advanced Knowledge Graph Implementation,Closed
85,Foundation Repair - Database & Slack Integration Architecture,Closed
86,PM-088 Phase 2: User Guide Implementation - Complete Conversational AI Documentation,Closed
83,PM-072-SUB: Modernize Main Repository README,Closed
38,PM-058: Resolve AsyncPG Connection Pool Concurrency in Test Suite,Closed
61,PM-034: LLM-Based Intent Classification,Closed
80,PM-034.1: LLM-Based Intent Classification with Knowledge Graph Context,Closed
69,PM-079: Refine Slack Workflow Notifications - Reduce Verbosity,Closed
